activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
Work,2024-02-22 11:00:26,2024-02-22 12:22:21,,,,1:21:55,81
espalda pilates,2024-02-22 12:22:42,2024-02-22 13:15:41,,,,0:52:59,52
Rebeca casa,2024-02-22 13:15:51,2024-02-22 16:50:45,,,,3:34:54,214
Work,2024-02-22 13:15:59,2024-02-22 16:50:44,,,,3:34:45,214
espalda pilates,2024-02-22 16:51:03,2024-02-22 18:00:13,,,,1:9:10,69
Work,2024-02-22 18:00:17,2024-02-22 18:30:38,,,,0:30:21,30
Work,2024-02-23 04:14:22,2024-02-23 05:40:43,,,,1:26:21,86
Work,2024-02-23 05:40:57,2024-02-23 05:52:07,,,,0:11:10,11
Work,2024-02-23 05:52:17,2024-02-23 06:26:40,,,,0:34:23,34
Work,2024-02-23 06:27:00,2024-02-23 07:03:20,,,,0:36:20,36
Work,2024-02-23 07:03:23,2024-02-23 07:23:35,,,,0:20:12,20
Izan ,2024-02-23 07:23:40,2024-02-23 08:26:59,,,,1:3:19,63
Rebeca casa,2024-02-23 07:45:00,2024-02-23 08:27:24,,,,0:42:24,42
Work,2024-02-23 08:27:05,2024-02-23 08:55:46,,,,0:28:41,28
Work,2024-02-23 08:55:51,2024-02-23 12:35:48,,,,3:39:57,219
espalda pilates,2024-02-23 12:35:50,2024-02-23 14:23:56,,,,1:48:6,108
Work,2024-02-23 14:24:00,2024-02-23 20:31:16,,,,6:7:16,367
espalda pilates,2024-02-24 06:00:25,2024-02-24 07:01:27,,,,1:1:2,61
espalda pilates,2024-02-24 07:01:32,2024-02-24 07:52:47,,,,0:51:15,51
Izan ,2024-02-24 07:52:53,2024-02-24 08:37:27,,,,0:44:34,44
Work,2024-02-24 08:38:16,2024-02-24 08:38:17,,,,0:0:1,0
Izan ,2024-02-24 09:24:31,2024-02-24 13:02:19,,,,3:37:48,217
Rebeca casa,2024-02-24 09:25:58,2024-02-24 13:02:19,,,,3:36:21,216
espalda pilates,2024-02-24 13:02:33,2024-02-24 20:49:16,,,,7:46:43,466
espalda pilates,2024-02-25 06:17:09,2024-02-25 07:15:03,,,,0:57:54,57
espalda pilates,2024-02-25 07:15:22,2024-02-25 08:27:46,,,,1:12:24,72
espalda pilates,2024-02-25 08:27:05,2024-02-25 08:59:22,,,,0:32:17,32
Izan ,2024-02-25 08:59:23,2024-02-25 09:51:41,,,,0:52:18,52
Work,2024-02-26 05:45:32,2024-02-26 07:00:15,,,,1:14:43,74
Work,2024-02-26 07:00:12,2024-02-26 07:45:41,,,,0:45:29,45
Izan ,2024-02-26 07:45:33,2024-02-26 08:21:37,,,,0:36:4,36
Work,2024-02-26 08:21:41,2024-02-26 09:00:17,,,,0:38:36,38
Work,2024-02-26 09:00:19,2024-02-26 10:15:25,,,,1:15:6,75
espalda pilates,2024-02-26 10:15:31,2024-02-26 11:00:50,,,,0:45:19,45
Work,2024-02-26 11:00:00,2024-02-26 12:15:03,,,,1:15:3,75
espalda pilates,2024-02-26 12:15:09,2024-02-26 13:00:14,,,,0:45:5,45
Work,2024-02-26 13:00:20,2024-02-26 16:59:37,,,,3:59:17,239
Izan ,2024-02-26 16:59:41,2024-02-26 17:30:42,,,,0:31:1,31
Izan ,2024-02-26 17:30:42,2024-02-26 17:57:48,,,,0:27:6,27
Rebeca casa,2024-02-26 17:30:48,2024-02-26 18:15:38,,,,0:44:50,44
espalda pilates,2024-02-26 18:16:40,2024-02-26 18:20:39,,,,0:3:59,3
espalda pilates,2024-02-26 18:20:49,2024-02-26 18:46:19,,,,0:25:30,25
Izan ,2024-02-26 18:46:23,2024-02-26 20:02:19,,,,1:15:56,75
espalda pilates,2024-02-26 20:02:22,2024-02-26 20:51:38,,,,0:49:16,49
Casa,2024-02-26 20:45:48,2024-02-26 21:17:00,,,,0:31:12,31
Work,2024-02-27 05:52:40,2024-02-27 07:30:21,,,,1:37:41,97
Work,2024-02-27 07:30:40,2024-02-27 08:00:45,,,,0:30:5,30
Izan ,2024-02-27 08:00:01,2024-02-27 08:30:08,,,,0:30:7,30
Izan ,2024-02-27 08:30:14,2024-02-27 09:00:36,,,,0:30:22,30
Work,2024-02-27 09:00:40,2024-02-27 12:43:49,,,,3:43:9,223
espalda pilates,2024-02-27 12:43:58,2024-02-27 14:26:50,,,,1:42:52,102
Work,2024-02-27 14:27:05,2024-02-27 17:54:22,,,,3:27:17,207
Casa,2024-02-27 18:15:17,2024-02-27 20:35:17,,,,2:20:0,140
Rebeca casa,2024-02-27 18:15:17,2024-02-27 20:35:17,,,,2:20:0,140
Casa,2024-02-27 20:35:54,2024-02-27 20:55:54,,,,0:20:0,20
Work,2024-02-28 05:06:19,2024-02-28 06:15:45,,,,1:9:26,69
Work,2024-02-28 06:15:57,2024-02-28 06:45:50,,,,0:29:53,29
Work,2024-02-28 06:45:57,2024-02-28 06:57:02,,,,0:11:5,11
Work,2024-02-28 06:57:05,2024-02-28 07:50:51,,,,0:53:46,53
Rebeca casa,2024-02-28 07:30:33,2024-02-28 07:51:32,,,,0:20:59,20
Casa,2024-02-28 07:30:51,2024-02-28 07:51:33,,,,0:20:42,20
Rebeca casa,2024-02-28 07:50:56,2024-02-28 08:19:03,,,,0:28:7,28
Izan ,2024-02-28 07:51:01,2024-02-28 08:19:02,,,,0:28:1,28
Izan ,2024-02-28 08:00:03,2024-02-28 08:19:35,,,,0:19:32,19
Work,2024-02-28 08:15:10,2024-02-28 09:00:53,,,,0:45:43,45
Work,2024-02-28 09:00:14,2024-02-28 11:15:17,,,,2:15:3,135
Work,2024-02-28 13:45:40,2024-02-28 14:45:35,,,,0:59:55,59
Work,2024-02-28 14:45:40,2024-02-28 15:16:24,,,,0:30:44,30
Work,2024-02-28 15:16:51,2024-02-28 17:07:44,,,,1:50:53,110
Izan ,2024-02-28 17:07:50,2024-02-28 21:26:10,,,,4:18:20,258
Work,2024-02-29 05:44:21,2024-02-29 07:00:22,,,,1:16:1,76
Work,2024-02-29 07:30:02,2024-02-29 08:00:04,,,,0:30:2,30
Rebeca casa,2024-02-29 08:00:50,2024-02-29 09:00:01,,,,0:59:11,59
Casa,2024-02-29 08:00:58,2024-02-29 09:00:02,,,,0:59:4,59
Izan ,2024-02-29 09:00:11,2024-02-29 09:17:15,,,,0:17:4,17
Work,2024-02-29 09:17:19,2024-02-29 12:46:24,,,,3:29:5,209
espalda pilates,2024-02-29 12:46:34,2024-02-29 14:30:23,,,,1:43:49,103
Work,2024-02-29 14:30:25,2024-02-29 16:55:35,,,,2:25:10,145
Izan ,2024-02-29 16:55:38,2024-02-29 17:30:51,,,,0:35:13,35
Izan ,2024-02-29 17:30:57,2024-02-29 18:05:02,,,,0:34:5,34
Rebeca casa,2024-02-29 18:05:00,2024-02-29 18:05:02,,,,0:0:2,0
Casa,2024-02-29 20:08:25,2024-02-29 20:08:36,,,,0:0:11,0
Casa,2024-02-29 20:08:47,2024-02-29 20:08:52,,,,0:0:5,0
Izan ,2024-02-29 20:08:58,2024-02-29 20:09:03,,,,0:0:5,0
Rebeca casa,2024-02-29 20:09:01,2024-02-29 20:09:03,,,,0:0:2,0
Izan ,2024-02-29 20:09:05,2024-02-29 20:09:08,,,,0:0:3,0
Sleep,2024-02-29 20:09:42,2024-02-29 20:09:51,,,,0:0:9,0
Work,2024-03-01 05:07:53,2024-03-01 07:20:01,,,,2:12:8,132
Work,2024-03-01 07:20:01,2024-03-01 07:35:54,,,,0:15:53,15
Work,2024-03-01 07:35:03,2024-03-01 08:41:07,,,,1:6:4,66
Izan ,2024-03-01 08:41:29,2024-03-01 09:00:25,,,,0:18:56,18
Izan ,2024-03-01 09:00:30,2024-03-01 10:17:36,,,,1:17:6,77
Work,2024-03-01 10:17:51,2024-03-01 10:17:53,,,,0:0:2,0
espalda pilates,2024-03-01 10:17:56,2024-03-01 11:18:26,,,,1:0:30,60
Work,2024-03-01 11:18:35,2024-03-01 11:39:22,,,,0:20:47,20
espalda pilates,2024-03-01 11:39:32,2024-03-01 13:37:59,,,,1:58:27,118
Work,2024-03-01 13:38:01,2024-03-01 16:58:09,,,,3:20:8,200
Izan ,2024-03-01 16:58:11,2024-03-01 17:50:48,,,,0:52:37,52
Work,2024-03-01 17:50:53,2024-03-01 18:58:42,,,,1:7:49,67
Casa,2024-03-01 18:59:03,2024-03-01 21:00:47,,,,2:1:44,121
espalda pilates,2024-03-02 05:20:19,2024-03-02 07:05:23,,,,1:45:4,105
Work,2024-03-02 07:05:29,2024-03-02 08:28:46,,,,1:23:17,83
Izan ,2024-03-02 08:28:53,2024-03-02 10:08:12,,,,1:39:19,99
Work,2024-03-02 09:35:18,2024-03-02 10:08:29,,,,0:33:11,33
espalda pilates,2024-03-02 10:08:36,2024-03-02 10:56:59,,,,0:48:23,48
Work,2024-03-02 10:57:08,2024-03-02 14:02:11,,,,3:5:3,185
Rebeca casa,2024-03-02 14:02:18,2024-03-02 21:03:59,,,,7:1:41,421
Casa,2024-03-02 14:02:20,2024-03-02 21:03:58,,,,7:1:38,421
Work,2024-03-03 08:20:50,2024-03-03 09:52:53,,,,1:32:3,92
Casa,2024-03-03 09:52:56,2024-03-03 19:45:56,,,,9:53:0,593
Rebeca casa,2024-03-03 09:52:58,2024-03-03 20:18:57,,,,10:25:59,625
Work,2024-03-03 19:45:14,2024-03-03 20:19:16,,,,0:34:2,34
Work,2024-03-04 05:10:52,2024-03-04 06:54:55,,,,1:44:3,104
Work,2024-03-04 06:55:52,2024-03-04 07:50:51,,,,0:54:59,54
Work,2024-03-04 07:50:04,2024-03-04 08:12:54,,,,0:22:50,22
Izan ,2024-03-04 09:23:40,2024-03-04 09:23:49,,,,0:0:9,0
Work,2024-03-04 11:04:28,2024-03-04 11:37:37,,,,0:33:9,33
espalda pilates,2024-03-04 11:37:40,2024-03-04 13:30:36,,,,1:52:56,112
Work,2024-03-04 13:30:40,2024-03-04 16:54:00,,,,3:23:20,203
Izan ,2024-03-04 16:54:01,2024-03-04 17:42:38,,,,0:48:37,48
Rebeca casa,2024-03-04 17:42:40,2024-03-04 20:21:48,,,,2:39:8,159
Casa,2024-03-04 17:42:43,2024-03-04 20:21:47,,,,2:39:4,159
Work,2024-03-05 05:25:23,2024-03-05 09:24:18,,,,3:58:55,238
Izan ,2024-03-05 09:24:20,2024-03-05 12:04:11,,,,2:39:51,159
espalda pilates,2024-03-05 12:04:20,2024-03-05 14:16:52,,,,2:12:32,132
Work,2024-03-05 13:30:55,2024-03-05 17:44:33,,,,4:13:38,253
Work,2024-03-06 05:40:25,2024-03-06 06:32:56,,,,0:52:31,52
Work,2024-03-06 06:33:05,2024-03-06 06:41:30,,,,0:8:25,8
Work,2024-03-06 06:41:48,2024-03-06 07:25:29,,,,0:43:41,43
Work,2024-03-06 07:25:35,2024-03-06 08:18:08,,,,0:52:33,52
Izan ,2024-03-06 08:18:20,2024-03-06 09:12:44,,,,0:54:24,54
Work,2024-03-06 09:12:49,2024-03-06 11:21:59,,,,2:9:10,129
espalda pilates,2024-03-06 11:22:05,2024-03-06 14:26:22,,,,3:4:17,184
Work,2024-03-06 13:30:24,2024-03-06 16:50:43,,,,3:20:19,200
Izan ,2024-03-06 16:50:48,2024-03-06 17:30:55,,,,0:40:7,40
Rebeca casa,2024-03-06 17:30:04,2024-03-06 19:00:03,,,,1:29:59,89
espalda pilates,2024-03-06 17:30:58,2024-03-06 19:00:04,,,,1:29:6,89
Work,2024-03-07 05:00:10,2024-03-07 07:56:24,,,,2:56:14,176
Casa,2024-03-07 07:56:30,2024-03-07 20:44:32,,,,12:48:2,768
Rebeca casa,2024-03-07 07:56:34,2024-03-07 20:44:33,,,,12:47:59,767
Work,2024-03-07 10:00:37,2024-03-07 12:15:39,,,,2:15:2,135
Work,2024-03-07 13:30:32,2024-03-07 17:00:32,,,,3:30:0,210
Work,2024-03-08 04:50:22,2024-03-08 06:20:32,,,,1:30:10,90
espalda pilates,2024-03-08 06:20:43,2024-03-08 08:54:27,,,,2:33:44,153
Rebeca casa,2024-03-08 08:54:35,2024-03-08 08:54:50,,,,0:0:15,0
Izan ,2024-03-08 08:54:41,2024-03-08 08:54:46,,,,0:0:5,0
espalda pilates,2024-03-08 08:54:48,2024-03-08 08:54:50,,,,0:0:2,0
Rebeca casa,2024-03-08 08:54:55,2024-03-08 10:55:10,,,,2:0:15,120
Izan ,2024-03-08 08:55:01,2024-03-08 10:55:09,,,,2:0:8,120
Work,2024-03-08 10:55:14,2024-03-08 12:30:35,,,,1:35:21,95
Work,2024-03-08 14:00:48,2024-03-08 17:00:17,,,,2:59:29,179
Izan ,2024-03-08 17:00:37,2024-03-08 17:30:43,,,,0:30:6,30
Rebeca casa,2024-03-08 17:30:41,2024-03-08 19:40:43,,,,2:10:2,130
Work,2024-03-08 17:30:45,2024-03-08 19:40:48,,,,2:10:3,130
Work,2024-03-09 05:52:53,2024-03-09 08:30:53,,,,2:38:0,158
Work,2024-03-12 05:30:32,2024-03-12 06:25:57,,,,0:55:25,55
Work,2024-03-12 06:25:32,2024-03-12 08:01:26,,,,1:35:54,95
Izan ,2024-03-12 07:45:39,2024-03-12 09:00:33,,,,1:14:54,74
Rebeca casa,2024-03-12 07:45:41,2024-03-12 09:00:33,,,,1:14:52,74
Izan ,2024-03-12 09:00:42,2024-03-12 09:32:45,,,,0:32:3,32
espalda pilates,2024-03-12 10:30:07,2024-03-12 13:00:54,,,,2:30:47,150
Work,2024-03-12 13:00:51,2024-03-12 17:30:06,,,,4:29:15,269
Work,2024-03-13 05:56:21,2024-03-13 08:14:17,,,,2:17:56,137
Rebeca casa,2024-03-13 07:18:42,2024-03-13 20:50:42,,,,13:32:0,812
Casa,2024-03-13 07:18:43,2024-03-13 20:50:43,,,,13:32:0,812
Rebeca casa,2024-03-13 08:14:26,2024-03-13 09:00:56,,,,0:46:30,46
Izan ,2024-03-13 09:00:10,2024-03-13 09:30:13,,,,0:30:3,30
Work,2024-03-13 09:30:16,2024-03-13 13:08:53,,,,3:38:37,218
espalda pilates,2024-03-13 12:30:58,2024-03-13 15:00:07,,,,2:29:9,149
Work,2024-03-13 15:00:12,2024-03-13 17:00:17,,,,2:0:5,120
Izan ,2024-03-13 17:00:17,2024-03-13 17:30:01,,,,0:29:44,29
Work,2024-03-14 07:00:54,2024-03-14 09:32:27,,,,2:31:33,151
Rebeca casa,2024-03-14 07:00:56,2024-03-14 09:32:27,,,,2:31:31,151
Rebeca casa,2024-03-14 09:32:33,2024-03-14 13:30:39,,,,3:58:6,238
espalda pilates,2024-03-14 09:32:34,2024-03-14 10:45:38,,,,1:13:4,73
Work,2024-03-14 10:45:39,2024-03-14 11:30:06,,,,0:44:27,44
espalda pilates,2024-03-14 11:30:39,2024-03-14 13:30:40,,,,2:0:1,120
Work,2024-03-14 13:30:40,2024-03-14 16:51:41,,,,3:21:1,201
Rebeca casa,2024-03-14 13:30:42,2024-03-14 16:51:40,,,,3:20:58,200
espalda pilates,2024-03-14 16:51:42,2024-03-14 18:17:09,,,,1:25:27,85
Rebeca casa,2024-03-14 16:51:46,2024-03-14 18:17:08,,,,1:25:22,85
Rebeca casa,2024-03-14 18:17:13,2024-03-14 20:32:02,,,,2:14:49,134
Casa,2024-03-14 18:17:14,2024-03-14 20:32:03,,,,2:14:49,134
Work,2024-03-15 05:44:27,2024-03-15 08:51:53,,,,3:7:26,187
espalda pilates,2024-03-15 08:51:58,2024-03-15 09:57:28,,,,1:5:30,65
Rebeca casa,2024-03-15 09:57:31,2024-03-15 12:00:32,,,,2:3:1,123
Work,2024-03-15 09:57:34,2024-03-15 12:00:31,,,,2:2:57,122
espalda pilates,2024-03-15 12:00:35,2024-03-15 13:30:39,,,,1:30:4,90
Rebeca casa,2024-03-15 12:00:37,2024-03-15 13:30:40,,,,1:30:3,90
Work,2024-03-15 13:30:41,2024-03-15 17:54:56,,,,4:24:15,264
Rebeca casa,2024-03-15 13:30:43,2024-03-15 17:54:55,,,,4:24:12,264
Work,2024-03-19 09:00:11,2024-03-19 12:05:46,,,,3:5:35,185
espalda pilates,2024-03-19 12:05:51,2024-03-19 12:45:56,,,,0:40:5,40
Work,2024-03-19 12:45:58,2024-03-19 15:07:04,,,,2:21:6,141
Izan ,2024-03-19 15:07:11,2024-03-19 15:30:29,,,,0:23:18,23
Work,2024-03-19 15:30:31,2024-03-19 16:42:51,,,,1:12:20,72
Izan ,2024-03-19 16:42:57,2024-03-19 18:01:01,,,,1:18:4,78
Casa,2024-03-19 18:01:04,2024-03-19 18:19:05,,,,0:18:1,18
Rebeca casa,2024-03-19 18:01:07,2024-03-19 18:19:04,,,,0:17:57,17
Rebeca casa,2024-03-19 18:19:09,2024-03-19 18:48:17,,,,0:29:8,29
Rebeca casa,2024-03-19 18:48:22,2024-03-19 20:00:51,,,,1:12:29,72
Casa,2024-03-19 18:48:25,2024-03-19 20:00:50,,,,1:12:25,72
Work,2024-03-20 06:10:23,2024-03-20 07:43:09,,,,1:32:46,92
Izan ,2024-03-20 07:43:32,2024-03-20 08:43:31,,,,0:59:59,59
Work,2024-03-20 08:43:32,2024-03-20 11:08:27,,,,2:24:55,144
Work,2024-03-20 11:08:37,2024-03-20 11:08:39,,,,0:0:2,0
Work,2024-03-20 13:15:29,2024-03-20 16:44:00,,,,3:28:31,208
Izan ,2024-03-20 16:44:04,2024-03-20 18:30:55,,,,1:46:51,106
Work,2024-03-21 05:15:57,2024-03-21 06:05:24,,,,0:49:27,49
Work,2024-03-21 06:05:25,2024-03-21 08:00:20,,,,1:54:55,114
Rebeca casa,2024-03-21 08:00:34,2024-03-21 10:48:39,,,,2:48:5,168
Work,2024-03-21 09:12:36,2024-03-21 10:48:38,,,,1:36:2,96
espalda pilates,2024-03-21 10:48:47,2024-03-21 12:29:58,,,,1:41:11,101
Rebeca casa,2024-03-21 10:48:51,2024-03-21 12:29:59,,,,1:41:8,101
Rebeca casa,2024-03-21 12:30:02,2024-03-21 13:45:49,,,,1:15:47,75
espalda pilates,2024-03-21 12:30:04,2024-03-21 13:45:48,,,,1:15:44,75
Work,2024-03-21 13:45:51,2024-03-21 15:27:21,,,,1:41:30,101
Rebeca casa,2024-03-21 13:45:54,2024-03-21 15:27:21,,,,1:41:27,101
Work,2024-03-21 16:15:49,2024-03-21 17:55:12,,,,1:39:23,99
Izan ,2024-03-21 18:06:58,2024-03-21 20:20:03,,,,2:13:5,133
Rebeca casa,2024-03-21 18:07:04,2024-03-21 20:20:02,,,,2:12:58,132
Work,2024-03-22 07:00:05,2024-03-22 07:41:05,,,,0:41:0,41
Rebeca casa,2024-03-22 07:41:13,2024-03-22 09:16:42,,,,1:35:29,95
Izan ,2024-03-22 07:41:21,2024-03-22 09:16:41,,,,1:35:20,95
Work,2024-03-22 09:00:44,2024-03-22 10:48:51,,,,1:48:7,108
espalda pilates,2024-03-22 10:48:55,2024-03-22 14:37:24,,,,3:48:29,228
Work,2024-03-22 14:37:26,2024-03-22 16:08:47,,,,1:31:21,91
Work,2024-03-22 16:09:05,2024-03-22 16:39:17,,,,0:30:12,30
Izan ,2024-03-22 17:01:48,2024-03-22 18:02:07,,,,1:0:19,60
Work,2024-03-22 18:02:08,2024-03-22 18:56:13,,,,0:54:5,54
Rebeca casa,2024-03-22 18:02:12,2024-03-22 18:56:14,,,,0:54:2,54
Work,2024-03-25 06:40:13,2024-03-25 09:08:17,,,,2:28:4,148
Rebeca casa,2024-03-25 07:30:03,2024-03-25 09:09:07,,,,1:39:4,99
Izan ,2024-03-25 07:30:58,2024-03-25 09:09:06,,,,1:38:8,98
Work,2024-03-25 09:09:08,2024-03-25 11:12:36,,,,2:3:28,123
espalda pilates,2024-03-25 11:12:42,2024-03-25 14:00:59,,,,2:48:17,168
Work,2024-03-25 14:00:05,2024-03-25 17:00:51,,,,3:0:46,180
Izan ,2024-03-25 17:00:02,2024-03-25 18:20:00,,,,1:19:58,79
Rebeca casa,2024-03-25 17:30:09,2024-03-25 18:30:24,,,,1:0:15,60
Work,2024-03-25 17:30:16,2024-03-25 18:30:24,,,,1:0:8,60
Work,2024-03-26 05:46:26,2024-03-26 07:43:32,,,,1:57:6,117
Izan ,2024-03-26 07:43:38,2024-03-26 09:09:50,,,,1:26:12,86
Rebeca casa,2024-03-26 07:43:42,2024-03-26 09:09:49,,,,1:26:7,86
Work,2024-03-26 09:09:54,2024-03-26 11:59:08,,,,2:49:14,169
espalda pilates,2024-03-26 11:59:10,2024-03-26 13:30:38,,,,1:31:28,91
Work,2024-03-26 13:30:44,2024-03-26 16:44:55,,,,3:14:11,194
Izan ,2024-03-26 16:44:59,2024-03-26 19:25:26,,,,2:40:27,160
Work,2024-03-27 07:08:45,2024-03-27 08:07:58,,,,0:59:13,59
Izan ,2024-03-27 08:08:04,2024-03-27 09:04:27,,,,0:56:23,56
Rebeca casa,2024-03-27 08:08:09,2024-03-27 09:04:26,,,,0:56:17,56
Work,2024-03-27 09:04:29,2024-03-27 12:50:52,,,,3:46:23,226
espalda pilates,2024-03-27 12:50:55,2024-03-27 13:58:53,,,,1:7:58,67
Work,2024-03-27 13:58:54,2024-03-27 16:40:20,,,,2:41:26,161
Izan ,2024-03-27 16:40:26,2024-03-27 21:04:57,,,,4:24:31,264
Work,2024-03-27 18:00:04,2024-03-27 18:30:05,,,,0:30:1,30
Work,2024-03-28 05:20:01,2024-03-28 11:30:14,,,,6:10:13,370
espalda pilates,2024-03-28 11:30:22,2024-03-28 13:45:24,,,,2:15:2,135
Work,2024-03-28 13:45:27,2024-03-28 17:46:20,,,,4:0:53,240
Work,2024-03-29 05:00:43,2024-03-29 09:00:32,,,,3:59:49,239
Rebeca casa,2024-03-29 09:00:36,2024-03-29 16:30:48,,,,7:30:12,450
Work,2024-03-29 14:00:17,2024-03-29 16:32:20,,,,2:32:3,152
Work,2024-04-02 06:00:05,2024-04-02 08:13:39,,,,2:13:34,133
Izan ,2024-04-02 08:13:45,2024-04-02 09:13:05,,,,0:59:20,59
Rebeca casa,2024-04-02 08:13:50,2024-04-02 09:13:04,,,,0:59:14,59
Work,2024-04-02 09:13:08,2024-04-02 10:00:21,,,,0:47:13,47
